DiseaseName	Hit_Minimum_HPO	Hit_Minimum_HPO_Freq	Enrich_ObservedHPO_pvalue_Bonf	Enrich_GeneHPO_pvalue_Bonf	Enrich_observeHPO_score	Enrich_GeneHPO_score	Score_max	Score_total	HPO_geneImpact_group	VarFreq_Group	Population_Freq	Effect_Impact	Disease_Inheritance	Genotype	Pathogenic_Gene	Amino_Change	Effect	VarFreq	Clinvar_latest_evidence	Interaction_variantGenes	Disease_AncestorHPO_Count	Query_observedAncestorHPO_Count	Hit_observedHPO_Count	Query_Ancestor_GeneHPO_Count	Hit_GeneHPO_Count	Enrich_ObservedHPO_pvalue	Enrich_GeneHPO_pvalue	Hit_observedHPO	Hit_geneHPO	Hit_observedAncestorHPO	Hit_geneAncestorHPO
OMIM:277590	HP:0001350	0.00228671943711522	4.434474473673995e-09	1.0	8.353157840704142	0.0	8.353157840704142	8.353157840704142	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	246	39	12	1	0	7.800306901801223e-13	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0025031;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0011442;HP:0011443;HP:0001350	NA
OMIM:214500	HP:0000421	0.00861917326297273	2.697511525685149e-43	1.0	42.568657135471135	0.0	42.568657135471135	42.568657135471135	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	171	39	30	1	0	4.744963105866577e-47	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001288;HP:0100763;HP:0001743;HP:0001392;HP:0410042;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:314050	HP:0000421	0.00861917326297273	1.1982805618682472e-40	1.0	39.92144063080489	0.0	39.92144063080489	39.92144063080489	1	0	1.0	NA	X-linked recessive	NA	NA	NA	NA	0.0	NA	NA	48	39	22	1	0	2.1077934245703556e-44	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0100763;HP:0001743;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:185070	HP:0000421	0.00861917326297273	4.783517766386552e-39	1.0	38.32025258727903	0.0	38.32025258727903	38.32025258727903	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	82	39	24	1	0	8.414279272447761e-43	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0001939;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0100763;HP:0001743;HP:0002012;HP:0025408;HP:0002597;HP:0001872;HP:0011873;HP:0001873;HP:0032180	NA
OMIM:612840	HP:0000421	0.00861917326297273	4.622534783447797e-38	1.0	37.33511980998046	0.0	37.33511980998046	37.33511980998046	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	73	39	23	1	0	8.131107798500962e-42	1.0	HP:0000421;HP:0001433	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0100763;HP:0001743;HP:0001392;HP:0410042;HP:0002012;HP:0001433;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872	NA
OMIM:139090	HP:0000421	0.00861917326297273	6.056861865122587e-38	1.0	37.21775232920211	0.0	37.21775232920211	37.21775232920211	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	60	39	22	1	0	1.0654110580690568e-41	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0100763;HP:0001743;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:230800	HP:0000421	0.00861917326297273	1.1364960848256899e-36	1.0	35.94443205596989	0.0	35.94443205596989	35.94443205596989	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	100	39	24	1	0	1.9991136056740366e-40	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0100763;HP:0001743;HP:0001392;HP:0410042;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:153670	HP:0000421	0.00861917326297273	7.5789673101379916e-34	1.0	33.12038996614385	0.0	33.12038996614385	33.12038996614385	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	56	39	20	1	0	1.3331516816425666e-37	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0100763;HP:0001743;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597;HP:0001872	NA
OMIM:615506	HP:0000421	0.00861917326297273	1.6946827272617602e-29	1.0	28.770911596987116	0.0	28.770911596987116	28.770911596987116	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	32	39	16	1	0	2.980972255517608e-33	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001939;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0001392;HP:0410042;HP:0002012;HP:0002597	NA
OMIM:273900	HP:0000421	0.00861917326297273	7.340756469869931e-26	1.0	25.134259183440605	0.0	25.134259183440605	25.134259183440605	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	27	39	14	1	0	1.2912500386754495e-29	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
